,distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,fuel_per_trip,fuel_per_hour,cost_trip
0,28.0,5.0,26,21.5,12,E10,0,0,0,1.4,0.0538,1.9319999999999997
1,12.0,4.2,30,21.5,13,E10,0,0,0,0.504,0.0168,0.6955199999999999
2,11.2,5.5,38,21.5,15,E10,0,0,0,0.616,0.0162,0.85008
3,12.9,3.9,36,21.5,14,E10,0,0,0,0.503,0.014,0.694278
4,18.5,4.5,46,21.5,15,E10,0,0,0,0.832,0.0181,1.14885
5,8.3,6.4,50,21.5,10,E10,0,0,0,0.531,0.0106,0.7330559999999999
6,7.8,4.4,43,21.5,11,E10,0,0,0,0.343,0.008,0.473616
7,12.3,5.0,40,21.5,6,E10,0,0,0,0.615,0.0154,0.8486999999999999
8,4.9,6.4,26,21.5,4,E10,0,0,0,0.314,0.0121,0.43276800000000004
9,11.9,5.3,30,21.5,9,E10,0,0,0,0.631,0.021,0.870366
10,12.4,5.6,42,21.5,4,E10,0,0,0,0.694,0.0165,0.9582719999999999
11,11.8,4.6,38,21.5,0,E10,0,0,0,0.543,0.0143,0.7490640000000001
12,12.3,5.9,59,21.5,10,E10,0,0,0,0.726,0.0123,1.0014660000000002
13,24.7,5.1,58,21.5,12,E10,0,0,0,1.26,0.0217,1.7383859999999995
14,12.4,4.7,46,21.5,11,E10,0,0,0,0.583,0.0127,0.8042639999999999
15,17.3,5.1,24,21.5,5,E10,0,0,0,0.882,0.0368,1.217574
16,33.4,5.6,36,21.5,3,E10,0,0,0,1.87,0.0519,2.5811519999999994
17,11.8,5.1,32,21.5,3,E10,0,0,0,0.602,0.0188,0.8304839999999999
18,25.9,4.9,39,21.5,8,E10,0,0,0,1.269,0.0325,1.7513579999999997
19,11.8,4.7,40,21.5,4,E10,0,0,0,0.555,0.0139,0.765348
20,25.3,5.5,32,21.5,3,E10,0,0,0,1.392,0.0435,1.9202699999999997
21,14.2,5.9,38,21.5,1,E10,0,0,0,0.838,0.0221,1.156164
22,17.9,5.7,37,21.5,1,E10,0,0,0,1.02,0.0276,1.4080139999999999
23,11.8,4.7,36,21.5,1,E10,0,0,0,0.555,0.0154,0.765348
24,12.3,5.9,62,21.5,6,E10,0,0,0,0.726,0.0117,1.0014660000000002
25,12.4,4.1,57,21.5,9,E10,0,0,0,0.508,0.0089,0.7015919999999999
26,18.4,5.7,21,22.5,2,E10,0,0,0,1.049,0.05,1.4473439999999997
27,18.4,5.8,28,21.5,3,E10,0,0,0,1.067,0.0381,1.4727359999999998
28,18.3,5.5,29,21.5,1,E10,0,0,0,1.006,0.0347,1.3889699999999998
29,18.4,5.7,35,21.5,4,E10,0,0,0,1.049,0.03,1.4473439999999997
30,12.3,5.3,51,21.5,11,E10,0,0,0,0.652,0.0128,0.8996219999999998
31,11.8,5.0,29,21.5,10,E10,0,0,0,0.59,0.0203,0.8141999999999999
32,12.3,5.6,58,21.5,8,E10,0,0,0,0.689,0.0119,0.9505439999999998
33,32.6,4.8,40,21.5,7,E10,0,0,0,1.565,0.0391,2.159424
34,19.0,4.3,36,21.5,7,E10,0,0,0,0.817,0.0227,1.12746
35,12.1,5.7,36,21.5,8,E10,0,0,0,0.69,0.0192,0.9517859999999999
36,20.0,5.2,37,21.5,4,E10,0,0,0,1.04,0.0281,1.4352
37,4.9,7.4,26,21.5,6,E10,0,0,0,0.363,0.014,0.500388
38,11.8,4.8,23,21.5,9,E10,0,0,0,0.566,0.0246,0.781632
39,12.3,6.5,58,21.5,7,E10,0,0,0,0.8,0.0138,1.1033099999999998
40,12.4,4.0,55,21.5,7,E10,1,1,0,0.496,0.009,0.68448
41,4.5,5.0,29,21.5,7,E10,1,0,0,0.225,0.0078,0.3105
42,11.7,4.6,37,21.5,6,E10,0,0,0,0.538,0.0145,0.7427159999999998
43,10.2,4.3,44,21.5,7,E10,0,0,0,0.439,0.01,0.6052679999999999
44,5.4,3.3,32,21.5,7,SP98,0,0,0,0.178,0.0056,0.260172
45,2.0,9.9,21,21.5,4,SP98,0,0,0,0.198,0.0094,0.28908
46,14.2,5.1,32,21.5,7,SP98,0,0,0,0.724,0.0226,1.0573319999999997
47,16.0,4.9,25,21.5,8,SP98,0,0,0,0.784,0.0314,1.14464
48,11.8,4.9,25,21.5,11,SP98,0,0,0,0.578,0.0231,0.844172
49,27.3,4.7,36,21.5,10,SP98,0,0,0,1.283,0.0356,1.873326
50,11.8,5.1,29,21.5,5,SP98,0,1,0,0.602,0.0208,0.878628
51,10.6,4.9,63,21.5,6,SP98,0,0,0,0.519,0.0082,0.7583240000000001
52,11.6,4.2,61,21.5,7,SP98,0,0,0,0.487,0.008,0.7113119999999999
53,13.1,6.1,46,21.5,6,SP98,0,1,0,0.799,0.0174,1.166686
54,6.1,6.4,28,21.5,8,SP98,0,0,0,0.39,0.0139,0.5699839999999999
55,153.5,4.9,82,21.5,3,SP98,0,1,0,7.522,0.0917,10.981390000000001
56,11.8,4.9,24,21.5,7,SP98,0,0,0,0.578,0.0241,0.844172
57,12.3,6.2,61,21.5,8,SP98,0,0,0,0.763,0.0125,1.113396
58,12.4,4.2,57,21.5,8,SP98,0,0,0,0.521,0.0091,0.760368
59,12.3,5.7,52,21.5,8,SP98,0,1,0,0.701,0.0135,1.0236059999999998
60,2.9,7.9,18,21.5,9,SP98,1,1,0,0.229,0.0127,0.334486
61,2.1,12.2,23,21.5,9,SP98,1,1,0,0.256,0.0111,0.37405199999999994
62,9.8,5.8,24,21.5,6,SP98,0,0,0,0.568,0.0237,0.829864
63,6.8,5.3,26,21.5,6,SP98,0,0,0,0.36,0.0138,0.526184
64,12.4,5.4,24,21.5,7,SP98,0,0,0,0.67,0.0279,0.9776160000000002
65,12.4,4.7,57,21.5,8,SP98,0,0,0,0.583,0.0102,0.850888
66,11.8,4.6,41,21.5,6,SP98,0,0,0,0.543,0.0132,0.7924880000000001
67,12.3,5.4,55,21.5,8,SP98,0,0,0,0.664,0.0121,0.969732
68,14.0,4.3,40,21.5,8,SP98,0,0,0,0.602,0.015,0.8789199999999999
69,11.8,4.5,37,21.5,4,SP98,1,0,0,0.531,0.0144,0.7752600000000001
70,12.3,5.2,55,21.5,12,SP98,0,0,0,0.64,0.0116,0.9338160000000001
71,2.0,6.2,20,21.5,10,SP98,0,0,0,0.124,0.0062,0.18104
72,13.9,5.1,29,21.5,6,SP98,0,0,0,0.709,0.0244,1.034994
73,9.7,3.9,42,21.5,8,SP98,0,0,0,0.378,0.009,0.552318
74,11.6,5.0,25,21.5,6,SP98,0,0,0,0.58,0.0232,0.8467999999999999
75,14.2,5.4,38,21.5,7,SP98,0,0,0,0.767,0.0202,1.119528
76,11.8,4.5,39,21.5,6,SP98,0,0,0,0.531,0.0136,0.7752600000000001
77,24.8,5.1,50,21.5,9,SP98,0,0,0,1.265,0.0253,1.8466079999999998
78,12.4,4.7,56,21.5,7,SP98,0,0,0,0.583,0.0104,0.850888
79,34.8,4.0,28,20.0,4,SP98,0,0,0,1.392,0.0497,2.03232
80,14.2,5.4,36,20.0,6,SP98,0,0,0,0.767,0.0213,1.119528
81,5.2,4.5,39,20.0,10,SP98,0,0,0,0.234,0.006,0.34164
82,10.5,3.6,42,20.0,10,SP98,0,0,0,0.378,0.009,0.55188
83,12.3,5.2,57,20.0,10,SP98,0,0,0,0.64,0.0112,0.9338160000000001
84,11.8,4.9,25,20.0,11,SP98,0,0,0,0.578,0.0231,0.844172
85,12.3,6.2,58,20.0,11,SP98,0,1,0,0.763,0.0132,1.113396
86,13.2,4.3,51,20.0,11,SP98,0,1,0,0.568,0.0111,0.828696
87,13.0,5.0,45,20.0,11,SP98,0,1,0,0.65,0.0144,0.949
88,12.9,5.1,32,20.0,11,SP98,0,0,0,0.658,0.0206,0.9605339999999999
89,13.9,5.6,22,20.0,8,SP98,0,0,0,0.778,0.0354,1.136464
90,11.8,4.3,37,20.0,6,SP98,0,0,0,0.507,0.0137,0.7408040000000001
91,12.2,5.8,60,20.0,11,SP98,0,0,0,0.708,0.0118,1.0330959999999998
92,12.5,4.0,51,20.0,13,SP98,0,0,0,0.5,0.0098,0.73
93,12.4,4.7,43,21.5,10,SP98,0,0,0,0.583,0.0136,0.850888
94,11.8,5.9,21,20.0,9,SP98,1,1,0,0.696,0.0331,1.0164520000000001
95,11.8,5.3,52,21.5,11,SP98,0,0,0,0.625,0.012,0.9130839999999999
96,12.5,4.2,57,20.0,11,SP98,0,0,0,0.525,0.0092,0.7665
97,15.7,5.3,33,21.5,9,SP98,0,0,0,0.832,0.0252,1.214866
98,12.9,5.7,35,21.5,9,SP98,0,0,0,0.735,0.021,1.073538
99,6.4,4.4,37,21.5,10,SP98,0,0,0,0.282,0.0076,0.411136
100,5.3,4.1,34,21.5,9,SP98,0,0,0,0.217,0.0064,0.31725799999999993
101,26.2,5.8,71,21.0,8,SP98,1,1,0,1.52,0.0214,2.218616
102,18.8,5.0,62,21.5,9,SP98,0,1,0,0.94,0.0152,1.3723999999999998
103,4.9,6.9,25,21.0,12,SP98,0,1,0,0.338,0.0135,0.493626
104,12.4,5.4,18,21.0,11,SP98,1,1,0,0.67,0.0372,0.9776160000000002
105,22.9,5.3,45,20.5,7,SP98,0,0,0,1.214,0.027,1.7720019999999999
106,162.7,5.5,75,23.0,1,SP98,0,0,0,8.948,0.1193,13.064809999999998
107,4.9,6.5,26,21.0,1,SP98,0,0,0,0.318,0.0122,0.46501
108,11.8,4.7,36,21.0,4,SP98,0,0,0,0.555,0.0154,0.8097160000000001
109,16.6,5.1,56,21.0,7,SP98,0,0,0,0.847,0.0151,1.236036
110,12.4,5.7,37,21.0,7,SP98,0,0,0,0.707,0.0191,1.0319280000000002
111,15.9,5.4,25,21.0,7,SP98,0,0,0,0.859,0.0344,1.2535560000000001
112,5.1,8.7,21,23.5,5,SP98,0,0,0,0.444,0.0211,0.6478019999999999
113,22.4,4.9,66,20.5,7,SP98,0,0,0,1.098,0.0166,1.6024960000000001
114,31.1,4.7,42,20.5,7,SP98,0,0,0,1.462,0.0348,2.1340820000000003
115,4.9,6.3,27,20.5,3,SP98,0,0,0,0.309,0.0114,0.45070200000000005
116,11.8,5.1,26,23.0,4,SP98,0,1,0,0.602,0.0232,0.878628
117,22.9,6.0,42,23.0,4,SP98,0,1,0,1.374,0.0327,2.0060399999999996
118,12.4,4.6,38,23.0,1,SP98,0,1,0,0.57,0.015,0.832784
119,12.9,5.8,40,23.0,4,SP98,0,0,0,0.748,0.0187,1.092372
120,11.8,5.1,43,23.0,0,SP98,0,0,0,0.602,0.014,0.878628
121,12.2,5.8,58,23.0,2,SP98,0,0,0,0.708,0.0122,1.0330959999999998
122,24.8,4.6,55,23.0,3,SP98,0,0,0,1.141,0.0207,1.665568
123,14.2,5.6,24,23.0,8,SP98,0,0,0,0.795,0.0331,1.1609919999999998
124,11.8,4.6,38,23.0,0,SP98,0,1,0,0.543,0.0143,0.7924880000000001
125,12.2,6.3,57,23.0,0,SP98,0,1,0,0.769,0.0135,1.122156
126,24.7,5.5,56,25.0,1,SP98,0,0,0,1.358,0.0242,1.9834100000000001
127,6.8,4.3,46,24.0,2,SP98,0,0,0,0.292,0.0063,0.426904
128,17.3,5.6,37,21.5,1,SP98,0,0,0,0.969,0.0262,1.414448
129,11.8,4.3,44,21.5,-3,SP98,0,0,0,0.507,0.0115,0.7408040000000001
130,15.9,5.7,46,21.5,5,SP98,0,0,0,0.906,0.0197,1.323198
131,5.1,6.4,39,21.5,4,SP98,0,0,0,0.326,0.0084,0.476544
132,16.1,4.5,33,21.5,6,SP98,0,0,0,0.724,0.0219,1.05777
133,11.8,4.5,43,21.5,3,SP98,0,0,0,0.531,0.0123,0.7752600000000001
134,4.2,6.0,26,21.5,5,SP98,0,0,0,0.252,0.0097,0.36791999999999997
135,17.4,5.1,30,21.5,5,SP98,0,0,0,0.887,0.0296,1.2956039999999998
136,23.5,6.0,25,21.5,5,SP98,0,1,0,1.41,0.0564,2.0585999999999998
137,11.8,4.5,38,21.5,5,SP98,0,1,0,0.531,0.014,0.7752600000000001
138,12.3,6.1,61,21.5,10,SP98,0,1,0,0.75,0.0123,1.095438
139,16.1,5.4,24,21.5,7,E10,0,1,0,0.869,0.0362,1.199772
140,11.8,4.3,40,21.5,10,E10,0,1,0,0.507,0.0127,0.7002120000000001
141,12.3,5.4,58,21.5,13,E10,0,0,0,0.664,0.0114,0.916596
142,12.4,4.3,49,21.5,17,E10,0,0,0,0.533,0.0109,0.7358159999999999
143,7.0,5.2,25,21.5,17,E10,0,0,0,0.364,0.0146,0.50232
144,11.8,4.1,37,21.5,10,E10,0,0,0,0.484,0.0131,0.6676439999999999
145,20.1,4.4,41,21.5,18,E10,0,0,0,0.884,0.0216,1.220472
146,20.8,4.5,45,21.5,10,E10,0,0,0,0.936,0.0208,1.29168
147,1.7,10.8,14,21.5,10,E10,0,1,0,0.184,0.0131,0.253368
148,35.9,4.7,45,21.5,12,E10,0,0,0,1.687,0.0375,2.3284739999999995
149,36.9,4.8,52,21.5,5,E10,0,0,0,1.771,0.0341,2.4442559999999993
150,16.8,4.0,46,21.5,8,E10,0,0,0,0.672,0.0146,0.92736
151,9.9,5.0,28,21.5,9,E10,0,0,0,0.495,0.0177,0.6830999999999999
152,22.9,4.6,61,21.5,7,E10,0,1,0,1.053,0.0173,1.4536919999999998
153,17.3,5.0,61,21.5,6,E10,1,1,0,0.865,0.0142,1.1937
154,11.8,4.3,37,21.5,7,E10,0,0,0,0.507,0.0137,0.7002120000000001
155,36.6,5.2,80,21.5,7,E10,0,1,0,1.903,0.0238,2.6264160000000003
156,44.9,4.7,62,21.5,8,E10,0,0,0,2.11,0.034,2.912214
157,11.8,4.2,34,21.5,9,E10,0,1,0,0.496,0.0146,0.683928
158,21.6,5.3,44,21.5,9,E10,0,1,0,1.145,0.026,1.579824
159,39.4,5.3,60,21.5,9,E10,0,1,0,2.088,0.0348,2.881716
160,5.1,8.1,39,21.5,4,E10,0,0,0,0.413,0.0106,0.5700779999999999
161,26.6,4.8,38,21.5,7,E10,0,0,0,1.277,0.0336,1.761984
162,53.2,5.1,71,21.5,2,E10,0,0,0,2.713,0.0382,3.7442159999999998
163,18.9,4.4,53,21.5,2,E10,0,0,0,0.832,0.0157,1.147608
164,43.5,5.0,80,21.5,3,E10,0,0,0,2.175,0.0272,3.0014999999999996
165,6.1,6.3,26,21.5,5,E10,0,0,0,0.384,0.0148,0.530334
166,16.4,4.8,49,21.5,5,E10,0,0,0,0.787,0.0161,1.0863359999999997
167,12.3,6.1,40,21.5,6,E10,0,0,0,0.75,0.0188,1.0354139999999998
168,21.1,4.6,36,21.5,8,E10,0,0,0,0.971,0.027,1.3394279999999998
169,21.1,4.8,43,21.5,7,E10,0,0,0,1.013,0.0236,1.3976639999999998
170,22.7,4.7,55,21.5,6,E10,0,0,0,1.067,0.0194,1.472322
171,44.4,4.8,38,21.5,8,E10,0,0,0,2.131,0.0561,2.9410559999999992
172,35.8,4.4,51,21.5,6,E10,0,0,0,1.575,0.0309,2.173776
173,11.8,4.9,44,21.5,0,E10,0,0,0,0.578,0.0131,0.797916
174,26.2,4.9,42,21.5,6,E10,0,0,0,1.284,0.0306,1.771644
175,40.6,4.4,44,21.0,3,E10,0,0,0,1.786,0.0406,2.4652320000000003
176,12.4,5.3,38,21.0,-5,E10,0,0,0,0.657,0.0173,0.906936
177,14.1,5.3,47,21.0,-3,E10,0,0,0,0.747,0.0159,1.0312739999999998
178,58.7,4.8,75,21.0,0,E10,0,0,0,2.818,0.0376,3.8882879999999997
179,16.2,5.2,29,21.0,0,E10,0,0,0,0.842,0.029,1.1625119999999998
180,12.3,4.9,50,22.5,0,E10,0,0,0,0.603,0.0121,0.8317260000000001
181,12.3,7.1,52,22.5,0,E10,1,1,0,0.873,0.0168,1.2051539999999998
182,12.4,5.2,51,22.5,1,E10,0,0,0,0.645,0.0126,0.889824
183,31.8,4.7,59,22.5,3,E10,0,0,0,1.495,0.0253,2.062548
184,12.3,5.1,55,22.5,8,E10,0,0,0,0.627,0.0114,0.8656739999999999
185,51.6,5.0,73,22.5,12,E10,0,0,0,2.58,0.0353,3.5604
186,38.6,4.6,44,22.5,10,E10,0,0,0,1.776,0.0404,2.450328
187,12.3,4.8,41,22.5,7,E10,0,0,0,0.59,0.0144,0.814752
188,81.2,4.4,69,22.0,13,E10,0,0,0,3.573,0.0518,4.930464000000001
189,130.3,4.6,85,22.0,12,E10,0,0,0,5.994,0.0705,8.271443999999999
190,67.2,4.3,67,22.0,18,E10,0,0,0,2.89,0.0431,3.987647999999999
191,43.7,4.7,44,22.0,9,SP98,0,1,0,2.054,0.0467,2.998694
192,12.1,4.2,43,22.0,4,SP98,0,0,0,0.508,0.0118,0.741972
193,56.1,4.8,82,22.0,13,SP98,0,0,0,2.693,0.0328,3.9314879999999994
